month,conflict_phase,hotel_chain,chain_hq_country,chain_tier,country,risk_level,total_rooms,occupancy_rate_pct,adr_usd,revpar_usd,total_revenue_usd,expected_revenue_usd,revenue_loss_usd,revenue_loss_pct,booking_cancellations,avg_length_of_stay_nights
2024-01,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,62.39,255.38,159.33,2901482.0,3214501.0,313019.0,9.74,2311,2.43
2024-02,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,64.74,278.9,180.57,3288229.0,3214501.0,0.0,0.0,2640,4.98
2024-03,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,65.54,296.61,194.41,3540120.0,3214501.0,0.0,0.0,2138,3.02
2024-04,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,63.51,260.62,165.52,3014034.0,3214501.0,200468.0,6.24,4445,1.82
2024-05,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,63.17,257.5,162.68,2962316.0,3214501.0,252185.0,7.85,3785,4.59
2024-06,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,66.69,300.59,200.48,3650662.0,3214501.0,0.0,0.0,2214,2.92
2024-07,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,65.09,283.68,184.66,3362569.0,3214501.0,0.0,0.0,2529,3.35
2024-08,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,63.06,296.88,187.2,3408913.0,3214501.0,0.0,0.0,2168,4.79
2024-09,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,65.78,294.04,193.41,3522059.0,3214501.0,0.0,0.0,2399,3.5
2024-10,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,66.18,283.96,187.93,3422227.0,3214501.0,0.0,0.0,3687,3.21
2024-11,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,64.65,296.17,191.48,3486843.0,3214501.0,0.0,0.0,4148,2.11
2024-12,Pre-Tension,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,62.5,279.96,174.96,3186105.0,3214501.0,28396.0,0.88,2735,3.71
2025-01,Escalation,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,57.36,296.9,170.3,3101214.0,3214501.0,113287.0,3.52,3385,2.67
2025-02,Escalation,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,50.9,296.52,150.94,2748600.0,3214501.0,465901.0,14.49,4497,1.93
2025-03,Escalation,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,58.9,262.69,154.72,2817528.0,3214501.0,396973.0,12.35,5099,5.19
2025-04,Escalation,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,56.59,309.11,174.91,3185110.0,3214501.0,29391.0,0.91,4923,2.46
2025-05,Escalation,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,56.28,308.7,173.75,3163913.0,3214501.0,50588.0,1.57,4084,2.0
2025-06,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,37.07,307.93,114.16,2078915.0,3214501.0,1135587.0,35.33,7695,2.71
2025-07,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,40.05,304.28,121.86,2219085.0,3214501.0,995416.0,30.97,5246,1.49
2025-08,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,42.02,293.47,123.32,2245572.0,3214501.0,968929.0,30.14,3416,1.06
2025-09,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,41.51,283.97,117.89,2146718.0,3214501.0,1067783.0,33.22,6276,3.02
2025-10,Active Conflict,Marriott International,USA,Luxury/Upper-Upscale,UAE,High,607,40.99,290.72,119.17,2170003.0,3214501.0,1044498.0,32.49,4746,1.89
