cancellation_id,cancellation_date,original_checkin_date,lead_time_days,conflict_phase,hotel_chain,hotel_tier,country,city,guest_nationality,booking_type,nights_booked,guests,room_type,adr_usd,revenue_lost_usd,cancellation_reason,refund_issued,channel
CXL-0001,2025-12-01,2025-12-31,30,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,Qatar,Al Rayyan,Chinese,Business,5,2,Suite,1735.69,8678.45,Insurance non-coverage,Full Refund,OTA
CXL-0002,2026-03-08,2026-03-27,19,Peak Crisis,Anantara Hotels,Luxury,Kuwait,Kuwait City,Chinese,Leisure,2,4,Suite,446.59,893.18,Safety concerns — conflict proximity,Full Refund,GDS
CXL-0003,2026-04-30,2026-05-21,21,Post-Ceasefire,IHG Hotels & Resorts,Upper-Upscale,Bahrain,Manama,Chinese,Group,12,1,Standard,999.81,11997.7,Corporate travel ban,Partial Refund,GDS
CXL-0004,2026-02-01,2026-02-10,9,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Qatar,Doha,South African,Honeymoon,10,1,Suite,1607.27,16072.66,Force majeure — war clause,Partial Refund,OTA
CXL-0005,2026-02-05,2026-03-21,44,Peak Crisis,Sofitel (Accor),Luxury,Saudi Arabia,Mecca,Australian,Honeymoon,1,5,Deluxe,1678.29,1678.29,Force majeure — war clause,Partial Refund,Travel Agent
CXL-0006,2026-03-03,2026-03-21,18,Peak Crisis,Four Seasons Hotels,Luxury,Lebanon,Beirut,German,Leisure,14,3,Standard,224.47,3142.56,Insurance non-coverage,Partial Refund,Direct Website
CXL-0007,2025-05-06,2025-05-25,19,Escalation,Jumeirah Group,Ultra-Luxury,Iraq,Baghdad,British,Honeymoon,2,6,Presidential Suite,175.56,351.13,Safety concerns — conflict proximity,No Refund,Direct Website
CXL-0008,2026-05-15,2026-06-13,29,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Lebanon,Beirut,Japanese,Group,4,6,Presidential Suite,698.62,2794.47,Force majeure — war clause,No Refund,Direct Website
CXL-0009,2025-12-14,2025-12-23,9,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Lebanon,Beirut,German,MICE,12,4,Suite,1509.54,18114.51,Force majeure — war clause,Partial Refund,Direct Website
CXL-0010,2026-01-26,2026-03-08,41,Peak Crisis,Anantara Hotels,Luxury,Saudi Arabia,Riyadh,Spanish,Business,8,5,Pool Villa,1271.28,10170.24,Airspace closure — flight cancelled,No Refund,OTA
CXL-0011,2026-05-03,2026-05-24,21,Post-Ceasefire,Jumeirah Group,Ultra-Luxury,Oman,Muscat,Australian,Business,12,5,Standard,458.04,5496.42,Force majeure — war clause,Voucher,Travel Agent
CXL-0012,2025-09-06,2025-10-24,48,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,UAE,Ajman,Indian,MICE,9,5,Pool Villa,1750.28,15752.55,Flight rerouting — extended journey,Full Refund,Direct Website
CXL-0013,2025-05-01,2025-05-11,10,Escalation,Kempinski Hotels,Luxury,Bahrain,Manama,Russian,Honeymoon,14,2,Suite,1332.69,18657.68,MICE event cancelled,Partial Refund,OTA
CXL-0014,2025-12-10,2025-12-14,4,Active Conflict,Hilton Worldwide,Luxury/Upper-Upscale,Jordan,Amman,Brazilian,MICE,11,6,Standard,206.87,2275.57,Force majeure — war clause,No Refund,Direct Website
CXL-0015,2024-03-03,2024-03-04,1,Pre-Tension,Accor Group,Multi-Scale,Jordan,Amman,Spanish,Honeymoon,5,3,Presidential Suite,384.86,1924.28,Force majeure — war clause,No Refund,Travel Agent
CXL-0016,2025-07-23,2025-08-19,27,Active Conflict,Mandarin Oriental,Ultra-Luxury,Saudi Arabia,Dammam,American,MICE,10,4,Deluxe,309.53,3095.3,Airline suspension of routes,Partial Refund,GDS
CXL-0017,2026-02-27,2026-03-09,10,Peak Crisis,Sofitel (Accor),Luxury,Iraq,Erbil,British,Leisure,10,4,Deluxe,197.01,1970.09,Cruise ship rerouted,No Refund,Direct Website
CXL-0018,2025-11-01,2025-12-09,38,Active Conflict,Four Seasons Hotels,Luxury,Egypt,Hurghada,Brazilian,Honeymoon,12,5,Presidential Suite,1306.68,15680.12,Cruise ship rerouted,Full Refund,Corporate
CXL-0019,2026-01-12,2026-03-13,60,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Lebanon,Beirut,South Korean,Honeymoon,12,2,Deluxe,340.75,4088.95,Flight rerouting — extended journey,No Refund,Direct Website
CXL-0020,2025-07-27,2025-09-30,65,Active Conflict,Anantara Hotels,Luxury,Qatar,Al Rayyan,South African,Business,5,5,Deluxe,1581.35,7906.75,Government travel advisory Level 4,Partial Refund,Direct Website
CXL-0021,2025-03-24,2025-04-26,33,Escalation,Anantara Hotels,Luxury,Lebanon,Beirut,French,Leisure,8,1,Suite,628.23,5025.86,Hotel temporarily closed,Partial Refund,Travel Agent
CXL-0022,2026-02-09,2026-03-10,29,Peak Crisis,Sofitel (Accor),Luxury,Egypt,Sharm el-Sheikh,British,Business,8,3,Presidential Suite,160.52,1284.19,Insurance non-coverage,Voucher,GDS
CXL-0023,2025-06-01,2025-08-26,86,Active Conflict,Four Seasons Hotels,Luxury,Egypt,Hurghada,Japanese,Business,3,2,Standard,1560.43,4681.3,Safety concerns — conflict proximity,Partial Refund,OTA
CXL-0024,2026-01-28,2026-03-23,54,Peak Crisis,Sofitel (Accor),Luxury,Lebanon,Beirut,Spanish,MICE,9,2,Presidential Suite,943.26,8489.31,Safety concerns — conflict proximity,Voucher,GDS
CXL-0025,2026-01-28,2026-03-07,38,Peak Crisis,Sofitel (Accor),Luxury,Bahrain,Manama,Chinese,Honeymoon,1,3,Presidential Suite,1341.17,1341.17,MICE event cancelled,Partial Refund,OTA
CXL-0026,2026-05-22,2026-06-16,25,Post-Ceasefire,Jumeirah Group,Ultra-Luxury,UAE,Sharjah,French,MICE,6,2,Suite,305.93,1835.56,Airline suspension of routes,No Refund,Corporate
CXL-0027,2026-02-05,2026-03-14,37,Peak Crisis,Hilton Worldwide,Luxury/Upper-Upscale,Lebanon,Beirut,Brazilian,Group,9,6,Suite,660.32,5942.91,Government travel advisory Level 4,Partial Refund,GDS
CXL-0028,2025-01-08,2025-02-26,49,Escalation,Jumeirah Group,Ultra-Luxury,Bahrain,Muharraq,Italian,Leisure,11,1,Suite,931.84,10250.19,Hotel temporarily closed,Partial Refund,Travel Agent
CXL-0029,2025-10-14,2025-10-26,12,Active Conflict,Best Western,Mid-Scale,Saudi Arabia,NEOM area,South African,MICE,12,3,Pool Villa,1105.98,13271.81,Cruise ship rerouted,No Refund,Corporate
CXL-0030,2026-04-22,2026-05-01,9,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Iraq,Baghdad,French,Group,10,2,Deluxe,1670.3,16703.04,Insurance non-coverage,No Refund,Corporate
CXL-0031,2026-03-04,2026-03-16,12,Peak Crisis,Jumeirah Group,Ultra-Luxury,Egypt,Hurghada,South Korean,Business,8,4,Suite,955.39,7643.13,Hotel temporarily closed,Voucher,OTA
CXL-0032,2025-12-16,2025-12-25,9,Active Conflict,Accor Group,Multi-Scale,Saudi Arabia,Medina,French,Honeymoon,10,1,Standard,1114.96,11149.6,Hotel temporarily closed,No Refund,Direct Website
CXL-0033,2025-10-04,2025-10-20,16,Active Conflict,Rotana Hotels,Upper-Upscale,Bahrain,Manama,Australian,Group,10,1,Standard,1271.3,12713.02,Corporate travel ban,Full Refund,OTA
CXL-0034,2025-01-21,2025-02-18,28,Escalation,Wyndham Hotels,Mid/Upper-Mid,Iraq,Baghdad,Indian,MICE,5,5,Deluxe,1745.58,8727.89,Airline suspension of routes,Voucher,GDS
CXL-0035,2026-01-21,2026-01-30,9,Peak Crisis,Hilton Worldwide,Luxury/Upper-Upscale,Kuwait,Kuwait City,Russian,Leisure,1,6,Presidential Suite,1015.55,1015.55,Force majeure — war clause,Voucher,Corporate
CXL-0036,2024-11-17,2024-12-29,42,Pre-Tension,Wyndham Hotels,Mid/Upper-Mid,Iraq,Baghdad,South African,Leisure,8,2,Presidential Suite,1025.02,8200.17,Flight rerouting — extended journey,Voucher,Travel Agent
CXL-0037,2026-02-19,2026-03-19,28,Peak Crisis,Rotana Hotels,Upper-Upscale,Qatar,Doha,Spanish,Business,11,4,Deluxe,344.98,3794.81,Flight rerouting — extended journey,Partial Refund,Travel Agent
CXL-0038,2025-11-20,2025-12-01,11,Active Conflict,Jumeirah Group,Ultra-Luxury,UAE,Sharjah,Australian,Business,13,4,Suite,1086.56,14125.32,Corporate travel ban,Voucher,OTA
CXL-0039,2026-03-24,2026-03-29,5,Peak Crisis,Rotana Hotels,Upper-Upscale,Oman,Salalah,Australian,Group,4,2,Standard,1417.56,5670.26,Government travel advisory Level 4,Full Refund,GDS
CXL-0040,2025-11-06,2025-11-12,6,Active Conflict,Radisson Hotel Group,Upper-Upscale,Egypt,Sharm el-Sheikh,Italian,Group,4,6,Standard,1483.82,5935.27,MICE event cancelled,Voucher,Corporate
CXL-0041,2025-10-09,2025-12-18,70,Active Conflict,Mandarin Oriental,Ultra-Luxury,Lebanon,Beirut,Japanese,MICE,2,1,Pool Villa,1681.03,3362.06,Flight rerouting — extended journey,Partial Refund,GDS
CXL-0042,2026-03-03,2026-03-30,27,Peak Crisis,Sofitel (Accor),Luxury,Iraq,Erbil,Brazilian,Group,4,6,Suite,1661.08,6644.32,Force majeure — war clause,Voucher,OTA
CXL-0043,2025-02-21,2025-03-12,19,Escalation,Sofitel (Accor),Luxury,Egypt,Hurghada,Spanish,MICE,8,6,Pool Villa,850.09,6800.72,Insurance non-coverage,No Refund,GDS
